label,sms,change_sms,nltk,num_words
0,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,neft transaction with reference number ltgt for rs ltdecimalgt has been credited to the beneficiary account on ltgt at lttimegt ltgt,neft transact refer number ltgt r ltdecimalgt credit beneficiari account ltgt lttimegt ltgt,13
1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",your free ringtone is waiting to be collected simply text the password mix to number to verify get usher and britney fml,free rington wait collect simpli text password mix number verifi get usher britney fml,14
0,But i haf enuff space got like 4 mb...,but i haf enuff space got like number mb,haf enuff space get like number mb,7
0,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.,did you turn on the heater the heater was on and set to ltgt degrees,turn heater heater set ltgt degre,6
0,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!",hey there glad you r better now i hear you treated urself to a digi cam is it good we r off at number pm have a fab new year c you in coupla wks,hey glad r well hear treat urself digi cam good r number pm fab new year c coupla wks,19
1,,,unloosen entri number wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number numerate,25
1,Only 1 day left for SAWAN KI BAHAR compt. for Agents/DOs/CLIAs. Qualify the competition and win maximum prizes...SDM,only number day left for sawan ki bahar compt for agentsdosclias qualify the competition and win maximum link ,number day leav sawan ki bahar compt agentsdosclia qualifi competit win maximum link,13
0,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",lol grins i am not babe but thanks for thinking of me,lol grin babe thank think,5
0,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits",fun fact although you would think armand would eventually build up a tolerance or some shit considering how much he smokes he gets fucked up in like number hits,fun fact although would think armand would eventu build toler shit consid much smoke get fuck like number hit,19
0,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,shuhui say change number suntec steamboat you noe where where r you now,shuhui say chang number suntec steamboat noe r,8
0,Be happy there. I will come after noon,be happy there i will come after noon,happi come noon,3
0,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",daddy shu shu is looking number you you wan me number tell him you re not in singapore or wat,daddi shu shu look number wan number tell singapor wat,10
1,willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,willing i live local to you text a reply to hear strt back from me number p per message netcollex ltdhelpdesk number reply stop to end,will live local text repli hear strt back number p per messag netcollex ltdhelpdesk number repli stop end,18
0,"Lol you forgot it eh ? Yes, I'll bring it in babe",lol you forgot it eh yes i will bring it in babe,lol forget eh yes bring babe,6
1,,,free entri number wkli comp profits fa cup final tkts number st may number text fa issue receiv entri questionstd txt ratetc appli number number,25
1,,,free entri number wkli comp win fa cup terminal tkts number st may list text fa number receiv entri questionstd txt ratetc appli number number,25
0,Pls come quick cant bare this.,pls come quick cannot bare this,pls come quick bare,4
1,,,free entri figure wkli comp win fa cup final tkts number st may number text fa issue receiv entri questionstd txt ratetc appli number number,25
0,Finally the match heading towards draw as your prediction.,finally the match heading towards draw as your prediction,final match head toward draw predict,6
1,,,free entri bit wkli comp win fa cup final tkts number st may numeral text fa number receiv entri questionstd txt ratetc appli number number,25
1,,,free entri number wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli bit numerate,25
0,Prakesh is there know.,prakesh is there know,prakesh know,2
1,,,complimentary entri number wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli figure number,25
1,,,free entri number wkli comp profits fa cup final tkts number st may number text fa routine receiv entri questionstd txt ratetc appli number number,25
0,Sorry completely forgot * will pop em round this week if your still here?,sorry completely forgot will pop them round this week if your still here,sorri complet forget pop round week still,7
0,"THATåÕS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONåÕT WORRY.C U L8TR HUN!LOVE Yaxxx",thats alrite girl you know gail is neva wrongtake care sweet and dont worryc you l number tr hunlove yaxxx,that alrit girl know gail neva wrongtak care sweet dont worryc l number tr hunlov yaxxx,16
1,,,relinquish entri come wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
0,Yeah I'll try to scrounge something up,yeah i will try to scrounge something up,yeah tri scroung someth,4
1,,,free entri number wkli comp win fa cup last tkts number st may number text fa number receiv entri questionstd txt ratetc appli turn number,25
1,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or å£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,urgent please call number from landline your abta complimentary number tenerife holiday or moneysymbol number cash await collection sae tcs box number cw number wx number ppm,urgent pleas call number landlin abta complimentari number tenerif holiday moneysymbol number cash await collect sae tc box number cw number wx number ppm,24
0,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",i got like moneysymbol ltgt i can get some more later though get whatever you feel like,get like moneysymbol ltgt get later though get whatev feel like,11
1,,,free entri number wkli comp win fa cup final tkts number st may number text fa amount receiv entri questionstd txt ratetc appli number act,25
0,After completed degree. There is no use in joining finance.,after completed degree there is no use in joining finance,complet degre use join financ,5
1,It's urgent please Contact me for an UNCLAIMED BEQUEST PAYMENT as the Assigned BENEFICIARY VIA EMAIL infogfreeman@gmail.com Regards Gordon,it is urgent please contact me for an unclaimed bequest payment as the assigned beneficiary via email link regards gordon,urgent pleas contact unclaim bequest payment assign beneficiari via email link regard gordon,13
0,K..k:)how about your training process?,kkhow about your training process,kkhow train process,3
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time to hop ard ya can go number free about muz call you to discuss liao,hmmm thk sure get time hop ard ya go number free muz call discuss liao,15
1,,,free entri number wkli comp advance fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number numerate,25
1,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",free nokia or motorola with upto number mths number number price linerental number free xnet mins number txtmth free b tooth call mobileupd number on number or call number optoutd number wv,free nokia motorola upto number mths number number price linerent number free xnet min number txtmth free b tooth call mobileupd number number call number optoutd number wv,28
0,Ladies first and genus second k .,ladies first and genus second k ,ladi first genus second k,5
0,With my sis lor... We juz watched italian job.,with my sis lor we juz watched italian job,si lor juz watch italian job,6
0,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,lol you will not feel bad when i use her money to take you out to a steak dinner d,lol feel bad use money take steak dinner,8
1,,,liberal entri list wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
1,,,absolve entri number wkli comp profits fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
1,,,discharge entri number wkli comp win fa cup final tkts issue st may number text fa number receiv entri questionstd txt ratetc appli number number,25
0,Oh... Kay... On sat right?,oh kay on sat right,oh kay sat right,4
1,,,spare entri number wkli comp win fa cup net tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
0,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,bishan lar nearer no need buy so early cos if buy now i got to park my car,bishan lar nearer need buy earli co buy get park car,11
0,Hi..i got the money da:),hii got the money da,hii get money da,4
1,,,exempt entri number wkli comp win fa cup final tkts issue st may number text fa number receiv entri questionstd txt ratetc appli number number,25
0,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,i am getting threats from your sales executive shifad as i raised complaint against him its an official message,get threat sale execut shifad rais complaint offici messag,9
1,,,free entri come wkli comp win fa cup final tkts come st may number text fa number receiv entri questionstd txt ratetc appli number number,25
0,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,hey pple moneysymbol number or moneysymbol number for number nightsexcellent location wif breakfast hamper,hey pple moneysymbol number moneysymbol number number nightsexcel locat wif breakfast hamper,12
0,"life alle mone,eppolum oru pole allalo",life alle moneeppolum oru pole allalo,life all moneeppolum oru pole allalo,6
1,,,free entri list wkli comp win fa cup final tkts number st whitethorn number text fa number receiv entri questionstd txt ratetc appli number number,25
0,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.,i don wake since i checked that stuff and saw that its true no available spaces pls call the embassy or send a mail to them,wake sinc check stuff saw true avail space pls call embassi send mail,13
1,,,free entri come wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number count,25
1,,,free entri number wkli comp win fa cup final tkts amount st may act text fa number receiv entri questionstd txt ratetc appli number number,25
0,"Garbage bags, eggs, jam, bread, hannaford wheat chex",garbage bags eggs jam bread hannaford wheat chex,garbag bag egg jam bread hannaford wheat chex,8
0,Cab is available.they pick up and drop at door steps.,cab is link pick up and drop at door steps,cab link pick drop door step,6
1,,,free entri figure wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number total,25
0,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,i was up all night too worrying about this appt it is a shame we missed a girls night out with quizzes popcorn and you doing my hair,night worri appt shame miss girl night quiz popcorn hair,10
0,How long does it take to get it.,how long does it take to get it,long take get,3
0,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,what is up my own oga left my phone at home and just saw you are messages hope you are good have a great weekend,oga leav phone home saw messag hope good great weekend,10
1,,,free entri number wkli comp advance fa cup final tkts numerate st may number text fa number receiv entri questionstd txt ratetc appli number number,25
1,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,you are subscribed to the best mobile content service in the uk for moneysymbol number per number days until you send stop to number helpline number ,subscrib best mobil content servic uk moneysymbol number per number day send stop number helplin number,16
1,,,free entri number wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli figure amount,25
1,,,relieve entri number wkli comp win fa cup final tkts number st may number text fa turn receiv entri questionstd txt ratetc appli number number,25
1,,,free entri numerate wkli comp gain fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
1,Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call 08718738034,update for free to oranges latest colour camera mobiles unlimited weekend calls call number ,updat free orang late colour camera mobil unlimit weekend call call number,12
0,Me n him so funny...,me n him so funny,n funni,2
1,,,detached entri number wkli comp win fa transfuse final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
1,,,free entri number wkli comp win fa cup final tkts figure st may number textbook fa number receiv entri questionstd txt ratetc appli number number,25
0,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight",the guy kadeem has not been selling since the break i know one other guy but he is paranoid as fuck and does not like selling without me there and i cannot be up there til late tonight,guy kadeem sell sinc break know one guy paranoid fuck like sell without til late tonight,16
1,,,free entri number wkli comp win fa cup final tkts total st may enumerate text fa number receiv entri questionstd txt ratetc appli number number,25
1,,,free entri number wkli comp gain fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number total,25
1,,,free entri number wkli comp acquire fa cup final tkts number st may enumerate text fa number receiv entri questionstd txt ratetc appli number number,25
1,,,exempt entri number wkli comp win fa cup final tkts number st May number text fa number receiv entri questionstd txt ratetc appli number number,25
0,Hey whats up? U sleeping all morning?,hey what is up you sleeping all morning,hey sleep morn,3
0,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",hmmm and imagine after you have come home from that having to rub my feet make me dinner and help me get ready for my date are you sure your ready for that kind of life ,hmmm imagin come home rub foot make dinner help get readi date sure readi kind life,16
0,Jus finish blowing my hair. U finish dinner already?,jus finish blowing my hair you finish dinner already,jus finish blow hair finish dinner alreadi,7
1,,,unfreeze entri number wkli comprehensive win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
0,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.,hello damn this christmas thing i think i have decided to keep this mp number that does not work,hello damn christma thing think decid keep mp number work,10
1,,,disengage entri number wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli number numerate,25
1,,,free entri number wkli comp win fa cup final tkts number st may routine text fa number receiv entri questionstd txt ratetc appli number turn,25
0,He also knows about lunch menu only da. . I know,he also knows about lunch menu only da i know,also know lunch menu da know,6
1,"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",urgent last weekend s draw shows that you have won moneysymbol number cash or a spanish holiday call now number to claim tc rstm sw number number ss number ppm,urgent last weekend draw show win moneysymbol number cash spanish holiday call number claim tc rstm sw number number ss number ppm,22
1,,,free entri count wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli list number,25
0,But pls dont play in others life.,but pls do not play in others life,pls play other life,4
0,How r Ì_ going to send it to me?,how are going to send it to me,go send,2
0,Talk to g and x about that,talk to g and x about that,talk g x,3
0,Did you stitch his trouser,did you stitch his trouser,stitch trouser,2
0,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,me too watching surya movie only after number pm vijay movie pokkiri,watch surya movi number pm vijay movi pokkiri,8
0,Yes... I trust u to buy new stuff ASAP so I can try it out,yes i trust you to buy new stuff as soon as possible so i can try it out,yes trust buy new stuff soon possibl tri,8
1,"Rental  Helpline  9999991155 1000-100, 000 sq.ft. In Noida & Gr.Noida  OFFICE & INDUSTRIAL Use Goldenberg estates pvt.ltd. sandeep@goldenberg.in 999 999 1155",rental helpline phonenumber number number number link in noida link office industrial use goldenberg estates link link phonenumber ,rental helplin phonenumb number number number link noida link offic industri use goldenberg estat link link phonenumb,17
1,,,free entri number wkli comp win fa cup final tkts number st may numerate text fa number receiv entri questionstd txt ratetc appli total number,25
0,How did you find out in a way that didn't include all of these details,how did you find out in a way that did not include all of these details,find way includ detail,4
1,,,free entri number wkli comp win fa cup final tkts number st may numerate text fa come receiv entri questionstd txt ratetc appli number number,25
1,,,barren entri number wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli amount number,25
1,,,free entri number wkli comp win fa cup final tkts come st may turn text fa number receiv entri questionstd txt ratetc appli number number,25
0,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",no we put party number days a week and study lightly i think we need to draw in some custom checkboxes so they know we are hardcore,put parti number day week studi light think need draw custom checkbox know hardcor,14
0,Hey i'm bored... So i'm thinking of u... So wat r u doing?,hey i am bored so i am thinking of you so wat r you doing,hey bore think wat r,5
0,Two teams waiting for some players,two teams waiting for some players,two team wait player,4
0,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you",hello as per request from ltgt rs number has been transfered to you,hello per request ltgt r number transfer,7
1,Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.,dear paytm customer your paytm kyc has expired contact customer care no phonenumber immediately your account will block within number hr thank you paytm team,dear paytm custom paytm kyc expir contact custom care phonenumb immedi account block within number hr thank paytm team,19
0,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",fuck babe i miss you sooooo much i wish you were here to sleep with me my bed is so lonely i go now to sleep to dream of you my love ,fuck babe miss sooooo much wish sleep bed lone go sleep dream love,13
0,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,this is wishing you a great day moji told me about your offer and as always i was speechless you offer so easily to go to great lengths on my behalf and its stunning my exam is next friday after that i will keep in touch more sorry,wish great day moji tell offer alway speechless offer easili go great length behalf stun exam next friday keep touch sorri,21
1,,,unloose entri number wkli comp win fa cup terminal tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
0,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,yeah like if it goes like it did with my friends i am going to flip my shit in like half an hour,yeah like go like friend go flip shit like half hour,11
1,,,free entri number wkli comp win fa cup final tkts amount st may issue text fa number receiv entri questionstd txt ratetc appli number number,25
0,"Mah b, I'll pick it up tomorrow",mah b i will pick it up tomorrow,mah b pick tomorrow,4
0,How much is blackberry bold2 in nigeria.,how much is blackberry bold number in nigeria,much blackberri bold number nigeria,5
1,,,free entri number wkli comp acquire fa cup final tkts number st may list text fa number receiv entri questionstd txt ratetc appli number number,25
1,UR Mobile Number Won 2Crores 35Lakh Rupees In Chevrolet Motors Award 2015 For Claim Send Name Phone Number Address  Age ToÃ¯Â¿Â½Email:chevmotorlondon@hotmail.com,you are mobile number won number crores number lakh rupees in chevrolet motors award number for claim send name phone number address age to link ,mobil number win number crore number lakh rupe chevrolet motor award number claim send name phone number address age link,20
0,"Could you not read me, my Love ? I answered you",could you not read me my love i answered you,could read love answer,4
1,RCT' THNQ Adrian for U text. Rgds Vatian,rct thnq adrian for you text rgds vatian,rct thnq adrian text rgds vatian,6
0,Hows the street where the end of library walk is?,how is the street where the end of library walk is,street end librari walk,4
0,"Im sorry bout last nite it wasnåÕt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx",i am sorry bout last nite it wasnt you are fault it was me spouse it was pmt or sumthin you number give me i think you shldxxxx,sorri bout last nite wasnt fault spous pmt sumthin number give think shldxxxx,13
0,Send to someone else :-),send to someone else ,send someon els,3
0,Ok lor thanx... ÌÏ in school?,ok lor thanx in school,ok lor thanx school,4
1,,,free entri number wkli comp win fa cup final tkts number st may number text fa number receiv entri questionstd txt ratetc appli enumerate count,25
1,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? call 08000930705 NOW,we tried to contact you re your reply to our offer of a video handset number anytime any networks mins unlimited text call number now,tri contact repli offer video handset number anytim network min unlimit text call number,14
0,"Haha, just what I was thinkin",haha just what i was thinkin,haha thinkin,2
0,Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?,let us pool our money together and buy a bunch of lotto tickets if we win i get ltgt you get ltgt deal,let u pool money togeth buy bunch lotto ticket win get ltgt get ltgt deal,15
1,,,free entri number wkli comp win fa cup final tkts total st may number text fa turn receiv entri questionstd txt ratetc appli number number,25
1,,,free entri number wkli comp acquire fa cup final tkts number st may come text fa number receiv entri questionstd txt ratetc appli number number,25
0,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,ha both of us doing e same thing but i got tv number watch you can thk of where number go tonight or you already haf smth in mind,ha u e thing get tv number watch thk number go tonight alreadi haf smth mind,16
1,,,free entri number wkli comp win fa cup final tkts number st may number text fa turn receiv entri questionstd txt ratetc appli numeral number,25
0,"Coffee cake, i guess...",coffee cake i guess,coffe cake guess,3
0,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",ya ok vikky vl c witin ltgt mins and il reply you,ya ok vikki vl c witin ltgt min il repli,10
1,,,gratis entri number wkli comp win fa cup final tkts number st whitethorn number text fa number receiv entri questionstd txt ratetc appli number number,25
0,I donno its in your genes or something,i donno its in your genes or something,donno gene someth,3
0,Doing my masters. When will you buy a bb cos i have for sale and how's bf,doing my masters when will you buy a bb cos i have for sale and how is bf,master buy bb co sale bf,6
1,Now GET RID OF -Cockroach -Termite -Bedbug -Rats -Any Pest 4Best DEALS in PestControlServices/ Chemical/Herbal/Odorless DIAL-N-ASK 080-62222222,now get rid of cockroach termite bedbug rats any pest number best deals in pestcontrolservices chemicalherbalodorless dialnask number number ,get rid cockroach termit bedbug rat pest number best deal pestcontrolservic chemicalherbalodorless dialnask number number,15
0,Hi da:)how is the todays class?,hi dahow is the todays class,hi dahow today class,4
1,,,free entri number wkli comp win fa cup final tkts routine st may number text fa number receiv entri questionstd txt ratetc appli number figure,25
1,,,relinquish entri number wkli comp win fa cup last tkts number st may number text fa number receiv entri questionstd txt ratetc appli number number,25
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,know grumpi old peopl mom like good lie alway one play joke,12
0,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",ill call you number mrw at ninish with my address that icky american freek will not stop callin me number bad jen k eh,ill call number mrw ninish address icki american freek stop callin number bad jen k eh,16
1,,,free entri number wkli comp win fa cup final tkts routine st may number text fa number receiv entri questionstd txt ratetc appli number issue,25
1,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",do you realize that in about number years we will have thousands of old ladies running around with tattoos,realiz number year thousand old ladi run around tattoo,9
0,You should get more chicken broth if you want ramen unless there's some I don't know about,you should get more chicken broth if you want ramen unless there is some i do not know about,get chicken broth want ramen unless know,7
1,"URGENT! Your Mobile No 07808726822 was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",urgent your mobile no number was awarded a moneysymbol number number bonus caller prize on number number number this is our number nd attempt to contact you call number number number box number qu,urgent mobil number award moneysymbol number number bonus caller prize number number number number nd attempt contact call number number number box number qu,24
1,,,free entri number wkli comp win fa cup final tkts numerate st may enumerate text fa number receiv entri questionstd txt ratetc appli number number,25
1,,,free entri number wkli comp win fa transfuse final tkts number st may numeral text fa number receiv entri questionstd txt ratetc appli number number,25
0,I will send them to your email. Do you mind  &lt;#&gt;  times per night?,i will send them to your email do you mind ltgt times per night,send email mind ltgt time per night,7
1,,,free entri total wkli comp win fa cup final tkts amount st may number text fa number receiv entri questionstd txt ratetc appli number number,25
0,"No, but you told me you were going, before you got drunk!",no but you told me you were going before you got drunk,tell go get drunk,4
1,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,warner village number c colin farrell in swat this wkend warner village get number free med popcornjust show link number number number c tc kiosk reply sony number mre film offers,warner villag number c colin farrel swat wkend warner villag get number free med popcornjust show link number number number c tc kiosk repli soni number mre film offer,29
0,No need to say anything to me. I know i am an outsider,no need to say anything to me i know i am an outsider,need say anyth know outsid,5
0,Sent me de webadres for geting salary slip,sent me de webadres for geting salary slip,send de webadr get salari slip,6
1,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",this is the number nd time we have tried number contact you you have won the number pound prize number claim is easy call number now only number p per min btnationalrate,number nd time tri number contact win number pound prize number claim easi call number number p per min btnationalr,20
1,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,you are going number bahamas callfreefone number and speak to a live operator to claim either bahamas cruise of moneysymbol number cash number only to opt out txt x to number ,go number bahama callfreefon number speak live oper claim either bahama cruis moneysymbol number cash number opt txt x number,20
1,,,free entri numeral wkli comp win fa cup final tkts total st may number text fa number receiv entri questionstd txt ratetc appli number number,25
0,First answer my question.,first answer my question,first answer question,3
0,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,message from i am at truro hospital on ext you can phone me here as i have a phone by my side,messag truro hospit ext phone phone side,7
0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,18
